feature,importance,rank
V258,11644.3837890625,1
V294,5748.81884765625,2
V70,3387.330810546875,3
C8,3149.096923828125,4
V69,2346.052001953125,5
V201,1982.780517578125,6
V91,1916.8773193359375,7
V158,1843.2459716796875,8
V187,1601.9324951171875,9
V30,1596.4124755859375,10
V308,1533.567626953125,11
C14,1465.6968994140625,12
card6,1099.9869384765625,13
C4,1076.731689453125,14
V197,955.3090209960938,15
V317,801.390380859375,16
M4,800.3639526367188,17
V283,780.5065307617188,18
C10,736.1858520507812,19
payer_past_fraud_count_30d,677.981201171875,20
D2,613.0079956054688,21
C5,589.7740478515625,22
V128,589.142578125,23
C11,586.08203125,24
V157,576.136962890625,25
V45,542.797119140625,26
V330,485.055908203125,27
C1,477.7327880859375,28
V312,448.305419921875,29
V102,440.0999450683594,30
C13,420.1566467285156,31
V335,417.1600341796875,32
V21,405.5321044921875,33
V296,383.41546630859375,34
D12,367.43658447265625,35
V281,358.6266784667969,36
id_32,350.1539611816406,37
C6,347.6347351074219,38
V307,343.0721740722656,39
V95,340.8987731933594,40
id_35,339.3447570800781,41
ProductCD,339.14300537109375,42
addr2,338.85870361328125,43
V162,330.2383117675781,44
V155,326.5220031738281,45
V286,315.2430725097656,46
DeviceType,304.86761474609375,47
V54,301.8125,48
D3,300.2751159667969,49
V156,299.0736083984375,50
payer_txn_count_24h,294.25946044921875,51
V133,291.8033447265625,52
M5,287.861572265625,53
V83,287.83587646484375,54
V177,285.19671630859375,55
V149,274.984619140625,56
V87,268.7437438964844,57
D5,264.4795837402344,58
id_34,261.5097351074219,59
M6,259.2912902832031,60
R_emaildomain,258.37176513671875,61
V50,255.42196655273438,62
id_09,251.7973175048828,63
V323,250.73233032226562,64
amount,248.89175415039062,65
V324,244.77020263671875,66
V34,242.68505859375,67
TransactionDT,240.87355041503906,68
id_01,240.38198852539062,69
card3,236.50511169433594,70
M3,231.28440856933594,71
id_36,227.47744750976562,72
V314,226.99777221679688,73
C2,219.5821533203125,74
V58,216.73760986328125,75
DeviceInfo,215.6377716064453,76
V310,215.18873596191406,77
V298,209.03738403320312,78
V82,202.15296936035156,79
V285,199.8860626220703,80
V97,198.7334747314453,81
D10,197.39443969726562,82
P_emaildomain,197.08438110351562,83
V228,194.45782470703125,84
D1,194.0654296875,85
id_24,193.93443298339844,86
device_distinct_payers_7d,193.8931121826172,87
V55,193.43646240234375,88
V309,193.39605712890625,89
C9,193.37879943847656,90
D15,192.12171936035156,91
V200,191.3867645263672,92
V67,191.12860107421875,93
