feature,importance,rank
V258,9839.6552734375,1
V70,4363.2314453125,2
V294,3924.34423828125,3
V91,2722.091064453125,4
V187,2447.621826171875,5
C8,2313.361572265625,6
V201,2090.470947265625,7
C14,1457.1572265625,8
C4,1456.002685546875,9
V308,1453.3758544921875,10
card6,1001.8629760742188,11
V243,907.3372192382812,12
C10,853.7366333007812,13
M4,835.4585571289062,14
C5,717.0234985351562,15
V280,634.2254028320312,16
V315,632.938720703125,17
payer_past_fraud_count_30d,629.077392578125,18
C1,594.0682983398438,19
id_32,528.0584106445312,20
D2,510.6817626953125,21
addr2,463.57763671875,22
V45,448.4553527832031,23
V22,427.4825439453125,24
V21,418.2232666015625,25
V149,363.5558776855469,26
C11,356.03179931640625,27
V102,353.3619384765625,28
V162,347.07757568359375,29
D3,339.6172790527344,30
ProductCD,334.5343017578125,31
V54,331.8403015136719,32
V311,321.7296447753906,33
V79,319.87017822265625,34
V197,313.80389404296875,35
M5,313.4579162597656,36
V133,312.1910400390625,37
V285,309.2248840332031,38
V155,300.4584655761719,39
V171,296.0986022949219,40
D12,294.181640625,41
V310,290.3671875,42
C13,288.884765625,43
V306,288.626953125,44
V296,288.3032531738281,45
V312,277.32305908203125,46
V83,274.4053649902344,47
M2,270.229736328125,48
M6,268.07318115234375,49
V160,266.7798156738281,50
DeviceInfo,264.3217468261719,51
V128,263.5049743652344,52
V210,263.2095642089844,53
payer_txn_count_24h,262.17657470703125,54
V170,260.7541809082031,55
V200,259.0138244628906,56
V152,258.84820556640625,57
C6,256.0029602050781,58
V156,252.16761779785156,59
M3,250.69741821289062,60
V16,248.9581298828125,61
V281,248.66567993164062,62
V283,243.24249267578125,63
V73,242.37225341796875,64
V288,240.27552795410156,65
V47,239.4814910888672,66
D5,238.73370361328125,67
card3,234.8086700439453,68
V282,234.45608520507812,69
V9,233.49905395507812,70
V335,231.9475555419922,71
V62,231.74708557128906,72
C7,231.2653045654297,73
id_09,230.5326385498047,74
V307,229.65374755859375,75
D15,227.01589965820312,76
